New Name,,surv,surv_2020,surv_2019,surv_2018,surv_2017
"Why are you not currently involved with any
BBA-affiliated student organizations? - Other, please specify: - Text",,"Why are you not currently involved with any
BBA-affiliated student organizations? (check all that apply) - Other, please specify: - Text",Why not? (Check all that apply) - Other - Text,Why not? (Check all that apply) - Other - Text,,
"BBA organizations that you consider yourself to be at least an active member in. - Actuarial club, UW-Madison",,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Actuarial club, UW-Madison",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Actuarial Club,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Actuarial Club,Select the BBA student organization(s) you currently participate in - check all that apply. - Actuarial Club,
BBA organizations that you consider yourself to be at least an active member in. - Alpha Kappa Psi (Alpha Mu Chapter),,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Alpha Kappa Psi (Alpha Mu Chapter)",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Alpha Kappa Psi,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Alpha Kappa Psi,Select the BBA student organization(s) you currently participate in - check all that apply. - Alpha Kappa Psi,
 BBA organizations that you consider yourself to be at least an active member in. - American Marketing Association (UW-Madison Collegiate Chapter),,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - American Marketing Association (UW-Madison Collegiate Chapter)",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - American Marketing Association,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - American Marketing Association,Select the BBA student organization(s) you currently participate in - check all that apply. - American Marketing Association,
" BBA organizations that you consider yourself to be at least an active member in. - Artisan Collective, The",,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Artisan Collective, The",,,,
 BBA organizations that you consider yourself to be at least an active member in. - Badger Blockchain,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Badger Blockchain",,,,
 BBA organizations that you consider yourself to be at least an active member in. - Badger Business Professionals,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Badger Business Professionals",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Badger Business Professionals,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Badger Business Professionals,Select the BBA student organization(s) you currently participate in - check all that apply. - Badger Business Professionals,
 BBA organizations that you consider yourself to be at least an active member in. - Badger Consulting ,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Badger Consulting ",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Badger Consulting,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Badger Consulting,,
 BBA organizations that you consider yourself to be at least an active member in. - Badger Future Founders,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Badger Future Founders",,,,
 BBA organizations that you consider yourself to be at least an active member in. - Badger Operations Association,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Badger Operations Association",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Badger Operations Association,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Badger Operations Association,Select the BBA student organization(s) you currently participate in - check all that apply. - Badger Operations Association,
 BBA organizations that you consider yourself to be at least an active member in. - Beta Alpha Psi - Sigma Chapter,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Beta Alpha Psi - Sigma Chapter",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Beta Alpha Psi,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Beta Alpha Psi,Select the BBA student organization(s) you currently participate in - check all that apply. - Beta Alpha Psi - Sigma Chapter,
 BBA organizations that you consider yourself to be at least an active member in. - Business Badgers and Beyond,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Business Badgers and Beyond",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Business Badgers and Beyond,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Business Badgers and Beyond,Select the BBA student organization(s) you currently participate in - check all that apply. - Business Badgers and Beyond,
 BBA organizations that you consider yourself to be at least an active member in. - Badger Business InterVarsity,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Badger Business InterVarsity",,,,
 BBA organizations that you consider yourself to be at least an active member in. - Capital Management Club,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Capital Management Club",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Capital Management Club,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Capital Management Club,Select the BBA student organization(s) you currently participate in - check all that apply. - Capital Management Club,
" BBA organizations that you consider yourself to be at least an active member in. - Collegiate DECA, UW Madison Chapter",,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Collegiate DECA, UW Madison Chapter","Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Collegiate DECA, UW Madison Chapter","Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Collegiate DECA, UW Madison Chapter",Select the BBA student organization(s) you currently participate in - check all that apply. - Collegiate DECA,
 BBA organizations that you consider yourself to be at least an active member in. - Delta Sigma Pi Psi Chapter,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Delta Sigma Pi Psi Chapter",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Delta Sigma Pi,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Delta Sigma Pi,Select the BBA student organization(s) you currently participate in - check all that apply. - Delta Sigma Pi Psi Chapter,
 BBA organizations that you consider yourself to be at least an active member in. - Diverse Leaders for Tomorrow,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Diverse Leaders for Tomorrow",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Diverse Leaders for Tomorrow,,,
 BBA organizations that you consider yourself to be at least an active member in. - Enactus,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Enactus",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Enactus,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Enactus,,
 BBA organizations that you consider yourself to be at least an active member in. - Ethical and Responsible Business Network,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Ethical and Responsible Business Network",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Ethical and Responsible Business Network,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Ethical and Responsible Business Network,Select the BBA student organization(s) you currently participate in - check all that apply. - Ethical and Responsible Business Network,
 BBA organizations that you consider yourself to be at least an active member in. - Fantasy Sports and Finance Club,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Fantasy Sports and Finance Club",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Fantasy Sports and Finance Club,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Fantasy Sports and Finance Club,Select the BBA student organization(s) you currently participate in - check all that apply. - Fantasy Sports and Finance Club,
 BBA organizations that you consider yourself to be at least an active member in. - Federal Reserve Challenge,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Federal Reserve Challenge",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Federal Reserve Challenge,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Federal Reserve Challenge,,
 BBA organizations that you consider yourself to be at least an active member in. - Finance & Investment Society,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Finance & Investment Society",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Finance & Investment Society,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Finance & Investment Society,Select the BBA student organization(s) you currently participate in - check all that apply. - Finance & Investment Society,
 BBA organizations that you consider yourself to be at least an active member in. - HUMAN Capital,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - HUMAN Capital",,,,
 BBA organizations that you consider yourself to be at least an active member in. - Information Systems Society,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Information Systems Society",,,,
" BBA organizations that you consider yourself to be at least an active member in. - Institute of Management Accountants, UW-Madison",,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Institute of Management Accountants, UW-Madison",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Institute of Management Accountants,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Institute of Management Accountants,Select the BBA student organization(s) you currently participate in - check all that apply. - Institute of Management Accountants,
 BBA organizations that you consider yourself to be at least an active member in. - Investment Banking Club,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Investment Banking Club",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Investment Banking Club,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Investment Banking Club,Select the BBA student organization(s) you currently participate in - check all that apply. - Investment Banking Club,
 BBA organizations that you consider yourself to be at least an active member in. - Korean Business Student Association,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Korean Business Student Association",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Korean Business Student Association,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Korean Business Student Association,Select the BBA student organization(s) you currently participate in - check all that apply. - Korean Business Student Association,
 BBA organizations that you consider yourself to be at least an active member in. - Madison Business Mentoring,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Madison Business Mentoring",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Madison Business Mentoring,,Select the BBA student organization(s) you currently participate in - check all that apply. - Madison Business Mentoring,
 BBA organizations that you consider yourself to be at least an active member in. - Madison Marketing,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Madison Marketing",,,,
 BBA organizations that you consider yourself to be at least an active member in. - MKT ,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - MKT ",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Mu Kappa Tau,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Mu Kappa Tau,Select the BBA student organization(s) you currently participate in - check all that apply. - Mu Kappa Tau,
" BBA organizations that you consider yourself to be at least an active member in. - Multicultural Business Student Association, The",,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Multicultural Business Student Association, The","Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Multicultural Business Student Association, The","Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Multicultural Business Student Association, The",Select the BBA student organization(s) you currently participate in - check all that apply. - Multicultural Business Student Association,
 BBA organizations that you consider yourself to be at least an active member in. - Phi Gamma Nu,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Phi Gamma Nu",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Phi Gamma Nu,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Phi Gamma Nu,,
 BBA organizations that you consider yourself to be at least an active member in. - Professional Sales Association,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Professional Sales Association",,,,
 BBA organizations that you consider yourself to be at least an active member in. - Real Estate Club,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Real Estate Club",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Real Estate Club,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Real Estate Club,,
 BBA organizations that you consider yourself to be at least an active member in. - Risk Management and Insurance Society,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Risk Management and Insurance Society",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Risk Management and Insurance Society,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Risk Management and Insurance Society,Select the BBA student organization(s) you currently participate in - check all that apply. - Risk Management and Insurance Society,
 BBA organizations that you consider yourself to be at least an active member in. - Rotaract-UW,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Rotaract-UW",,,,
 BBA organizations that you consider yourself to be at least an active member in. - Sales & Trading and Asset Management Society,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Sales & Trading and Asset Management Society",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Sales & Trading and Asset Management Society,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Sales & Trading and Asset Management Society,,
 BBA organizations that you consider yourself to be at least an active member in. - Social and Environmental Business Advocates,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Social and Environmental Business Advocates",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Social and Environmental Business Advocates,,,
 BBA organizations that you consider yourself to be at least an active member in. - Society for Human Resource Management,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Society for Human Resource Management",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Society for Human Resource Management,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Society for Human Resource Management,Select the BBA student organization(s) you currently participate in - check all that apply. - Society for Human Resource Management,
 BBA organizations that you consider yourself to be at least an active member in. - Society of Personal Investments,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Society of Personal Investments",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Society of Personal Investments,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Society of Personal Investments,Select the BBA student organization(s) you currently participate in - check all that apply. - Society of Personal Investment,
 BBA organizations that you consider yourself to be at least an active member in. - Sports Business Club,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Sports Business Club",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Sports Business Club,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Sports Business Club,Select the BBA student organization(s) you currently participate in - check all that apply. - Sports Business Club,
 BBA organizations that you consider yourself to be at least an active member in. - Student Retail Association,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Student Retail Association",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Student Retail Association,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Student Retail Association,Select the BBA student organization(s) you currently participate in - check all that apply. - Student Retail Association,
 BBA organizations that you consider yourself to be at least an active member in. - TAMID at UW-Madison,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - TAMID at UW-Madison",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - TAMID at UW-Madison,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - TAMID at UW-Madison,Select the BBA student organization(s) you currently participate in - check all that apply. - TAMID,
 BBA organizations that you consider yourself to be at least an active member in. - Transcend UW,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Transcend UW",,,,
 BBA organizations that you consider yourself to be at least an active member in. - Undergraduate Business Council ,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Undergraduate Business Council ",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Undergraduate Business Council,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Undergraduate Business Council,Select the BBA student organization(s) you currently participate in - check all that apply. - Undergraduate Business Council,
 BBA organizations that you consider yourself to be at least an active member in. - Wealth Management Group,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Wealth Management Group",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Wealth Management Group,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Wealth Management Group,Select the BBA student organization(s) you currently participate in - check all that apply. - Wealth Management Group,
 BBA organizations that you consider yourself to be at least an active member in. - Wisconsin Consulting Club,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Wisconsin Consulting Club",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Wisconsin Consulting Club,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Wisconsin Consulting Club,Select the BBA student organization(s) you currently participate in - check all that apply. - Wisconsin Consulting Club,
 BBA organizations that you consider yourself to be at least an active member in. - Women in Business,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Women in Business",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Women in Business,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Women in Business,Select the BBA student organization(s) you currently participate in - check all that apply. - Women in Business,
 BBA organizations that you consider yourself to be at least an active member in. - Women in Business Technology,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Women in Business Technology",,,,
 BBA organizations that you consider yourself to be at least an active member in. - Women in Finance and Accounting,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Women in Finance and Accounting",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Women in Finance and Accounting,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Women in Finance and Accounting,Select the BBA student organization(s) you currently participate in - check all that apply. - Women in Finance and Accounting,
 BBA organizations that you consider yourself to be at least an active member in. - Women in Real Estate,,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Women in Real Estate",Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Women in Real Estate,Select all BBA organizations that you consider yourself to be at least an active member in: (active member is defined as participating in an org meeting and/or event at least once a month) - Women in Real Estate,,
" BBA organizations that you consider yourself to be at least an active member in. - Other, please specify:",,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Selected Choice - Other, please specify:",,,,
" BBA organizations that you consider yourself to be at least an active member in. - Other, please specify: - Text",,"Select all BBA organizations that you consider yourself to be at least an active member in.

(active member is defined as participating in org meetings and/or events at least once a month) - Other, please specify: - Text",,,,
Do you hold a leadership position in any of the BBA Orgs you are involved with?,,"Do you hold a leadership position in any of the BBA Orgs you are involved with? 

(leadership position would be defined as a member of the exec board or leader of an internal committee)",Do you hold a leadership position in any of the BBA Orgs you are involved with? (Leadership position is defined as a member of the executive board or leader of an internal committee.),Do you hold a leadership position in any of the BBA Orgs you are involved with? (Leadership position is defined as a member of the executive board or leader of an internal committee.),Please select all leadership development or training that you have participated in. Check all that apply. - Selected Choice - Student organization leadership role,
Overall how satisfied are you with your experience(s) in BBA Student Org(s)?,,Overall how satisfied are you with your experience(s) in BBA Student Org(s)?,How would you rate your overall experience with your BBA Student Org(s)?,How would you rate your overall experience with your BBA Student Org(s)?,Being a member of a BBA student organization is a valuable experience.,
How would you rank how welcoming/inclusive the BBA Student Org(s) have been?,,"How would you rank how welcoming/inclusive the
BBA Student Org(s) have been?",How would you rate how how welcoming/inclusive the BBA Student Org(s) have been?,How would you rate how how welcoming/inclusive the BBA Student Org(s) have been?,,
"What, if anything, have you learned from your BBA student org(s) involvement?",,"What, if anything, have you learned from your BBA student org(s) involvement? (optional)",Please describe what you have learned from your BBA Student Org(s) involvement,Please describe what you have learned from your BBA Student Org(s) involvement,,
"What, if anything, can the Wisconsin School of Business (WSB) do to improve the student org experience? ",,"What,
if anything, can the Wisconsin School of Business (WSB) do to improve the student org experience? (optional)",,,Is there anything else you would like us to know about your leadership/involvement/student organization experience that would help us support students in the future?,
How familiar are you with the Business Badger Badge Program?,,How familiar are you with the Business Badger Badge Program?,Are you aware of the Business Badger Badge Program?,,,
"Regarding the Business Badger Badge program, please select the option that BEST describes you.",,"Regarding the Business Badger Badge program, please select the option that BEST describes you.",,,,
How satisfied are you with your experience in the Business Badger Badge Program so far?,,How satisfied are you with your experience in the Business Badger Badge Program so far?,How would you rank your overall experience with the Badge Program so far?,,,
Please explain why you selected the ranking above regarding the Badge Program,,"Please describe why you are ""[QID22-ChoiceGroup-SelectedChoices]"" with your experience in the Business Badger Badge program in the space below.",Please explain why you selected the ranking above,,,
